,회사명,ROA,PER
564,모다이노칩,6.37,13.41
565,모두투어,17.03,29.11
566,모바일리더,3.28,103.07
567,모베이스,20.03,4.49
568,모아텍,0.95,92.25
569,모토닉,0.75,18.99
570,모헨즈,6.17,36.64
571,무림P&P,-0.15,36.97
572,무림SP,4.96,16.5
573,무림페이퍼,-0.34,21.39
574,무학,8.77,9.31
575,문배철강,0.56,5.62
576,미동앤씨네마,-10.85,-42.0
577,미래나노텍,14.23,26.74
578,미래산업,-10.63,-31.86
579,미래아이앤지,-4.3,-22.72
580,미래에셋대우,0.68,24.97
581,미래에셋생명,-0.01,3.27
582,미래에셋제3호스팩,-0.4,0.0
583,미래에셋제5호스팩,-0.38,171.0
584,미래컴퍼니,4.56,21.54
585,미래테크놀로지,9.58,16.0
586,미스터블루,0.0,24.75
587,미원상사,8.67,5.09
588,미원에스씨,19.13,19.5
589,미원화학,16.55,11.1
590,미창석유,4.77,10.35
591,미코,7.0,15.39
592,미투온,2.69,151.32
593,민앤지,0.0,22.26
594,바디텍메드,18.65,79.73
595,바른손,0.0,-13.73
596,바른손이앤에이,26.56,32.46
597,바른전자,1.71,-15.06
598,바른테크놀로지,4.22,-21.71
599,바이넥스,-1.17,-36.78
600,바이로메드,0.3,-2734.79
601,바이오니아,-24.1,-34.13
602,바이오로그디바이스,11.65,12.68
603,바이오리더스,0.0,-34.39
604,바이오스마트,-1.32,36.63
605,바이오톡스텍,6.04,79.22
606,바이온,1.71,-21.13
607,바텍,10.28,6.6
608,방림,2.87,11.9
609,백광산업,0.43,15.68
610,백광소재,4.4,13.12
611,백금T&A,-4.87,69.68
612,백산,18.09,9.48
613,버추얼텍,-4.0,-22.72
614,범양건영,0.69,-224.37
615,베셀,-2.02,6.47
616,벽산,8.62,20.57
617,보광산업,9.7,22.94
618,보락,3.47,65.12
619,보령메디앙스,7.42,-256.89
620,보령제약,7.26,-165.32
621,보성파워텍,-3.32,-118.17
622,보해양조,-2.08,-34.08
623,부광약품,-0.7,160.02
624,부국증권,0.68,7.35
625,부국철강,0.53,20.97
626,부방,3.68,30.61
627,부산가스,0.57,12.4
628,부산산업,14.11,10.24
629,부산주공,-2.44,-4.12
630,부스타,7.22,9.08
631,뷰웍스,27.81,15.74
632,브레인콘텐츠,7.69,172.83
633,브리지텍,9.81,97.21
634,블루콤,14.66,8.84
635,비상교육,2.57,6.12
636,비씨월드제약,8.23,28.08
637,비아트론,14.87,13.88
638,비에이치,-3.14,24.39
639,비에이치아이,2.89,7.91
640,비엠티,-3.19,15.3
641,비츠로셀,10.02,18.8
642,비츠로시스,0.0,-20.42
643,비츠로테크,-5.21,6.62
644,비트컴퓨터,10.23,33.21
645,빅솔론,8.92,8.91
646,빅텍,-1.04,-93.0
647,빙그레,15.15,32.91
648,빛샘전자,5.4,11.05
649,사람인에이치알,15.16,18.69
650,사조대림,8.92,7.04
651,사조동아원,5.27,78.97
652,사조산업,8.09,9.51
653,사조씨푸드,5.51,15.46
654,사조오양,13.06,8.13
655,사조해표,6.34,54.88
656,사파이어테크놀로지,-19.91,-1.39
657,삼강엠앤티,0.38,1.1
658,삼광글라스,0.84,13.17
659,삼기오토모티브,5.35,7.04
660,삼륭물산,11.62,14.68
661,삼목에스폼,18.98,4.98
662,삼보모터스,-0.35,9.44
663,삼보산업,-0.55,-3.44
664,삼보판지,5.56,22.62
665,삼본정밀전자,6.08,20.77
666,삼부토건,-4.79,-0.89
667,삼성SDI,-2.84,33.32
668,삼성공조,-0.06,7.86
669,삼성물산,1.85,35.69
670,삼성물산,0.0,35.69
671,삼성바이오로직스,0.0,-192.26
672,삼성생명,0.61,20.54
673,삼성에스디에스,10.5,40.88
674,삼성엔지니어링,3.94,429.91
675,삼성전기,0.7,108.24
676,삼성전자,8.52,9.04
677,삼성제약,-8.13,-10.62
678,삼성중공업,1.98,114.6
679,삼성증권,0.78,16.28
680,삼성출판사,6.3,31.91
681,삼성카드,2.43,12.44
682,삼성화재,1.8,11.93
683,삼아알미늄,0.97,22.65
684,삼아제약,3.43,17.51
685,삼양사,10.63,28.99
686,삼양식품,9.42,17.97
687,삼양통상,12.34,5.01
688,삼양홀딩스,6.54,104.1
689,삼영무역,1.16,10.51
690,삼영엠텍,6.26,785.57
691,삼영이엔씨,5.96,19.49
692,삼영전자,1.9,20.49
693,삼영화학,-4.04,-3.34
694,삼우엠스,2.39,-1.94
695,삼원강재,5.53,10.79
696,삼원테크,-1.94,-6.55
697,삼익THK,5.57,17.03
698,삼익악기,3.3,52.89
699,삼일,3.37,18.0
700,삼일기업공사,-2.0,22.85
701,삼일제약,2.46,-38.33
702,삼정펄프,6.19,7.85
703,삼지전자,11.19,10.59
704,삼진,15.66,8.69
705,삼진엘앤디,5.72,31.46
706,삼진제약,21.91,16.57
707,삼천당제약,12.82,79.02
708,삼천리,-1.53,12.51
709,삼천리자전거,2.08,129.97
